Cust_id,Time_Section_Clothing,Time_Section_Electronics,Time_Section_Snacks,Time_Section_Sports,PickUp Products,Pref_cat
278,0.48,0.23,0.78,0.96,Evening gowns,Clothing
279,0.79,0.73,0.28,0.07,Swimwear,Clothing
280,0.64,0.67,0.58,0.42,Jumpsuits,Clothing
281,0.71,0.91,0.37,0.47,Umbrellas,Clothing
282,0.3,0.5,0.19,0.15,Leggings,Clothing
283,0.01,0.15,0.99,0.68,T-shirts,Clothing
284,0.02,0.68,0.45,0.18,Wallets,Clothing
285,0.69,0.06,0.85,0.94,Cardigans,Clothing
286,0.99,0.14,0.37,0.48,Panties,Clothing
287,0.86,0.05,0.84,0.79,Panties,Clothing
288,0.03,0.2,0.55,0.64,Sports uniforms,Clothing
289,0.49,0.12,0.41,0.71,Prescription glasses,Clothing
290,0.34,0.43,0.71,0.3,Tuxedos,Clothing
291,0.38,0.17,0.24,0.01,Dresses,Clothing
292,0.11,0.03,0.24,0.02,Wallets,Clothing
293,0.26,0.85,0.95,0.69,Evening gowns,Clothing
294,0.97,0.81,0.05,0.99,Watches,Clothing
295,0.03,0.1,0.32,0.86,Loafers,Clothing
296,0.72,0.6,0.46,0.03,Suits,Clothing
297,0.69,0.64,0.28,0.49,Raincoats,Clothing
298,0.91,0.99,0.86,0.34,Raincoats,Clothing
299,0.94,0.04,0.7,0.38,Skirts,Clothing
300,0.85,0.36,0.08,0.11,Raincoats,Clothing
301,0.99,0.78,0.62,0.26,Sweaters,Clothing
302,0.53,0.64,0.04,0.97,Windbreakers,Clothing
303,0.09,0.83,0.74,0.03,Windbreakers,Clothing
304,0.74,0.05,0.19,0.72,Sunglasses,Clothing
305,0.22,0.21,0.78,0.69,Sports bras,Clothing
306,0.17,0.84,0.82,0.91,Rompers,Clothing
307,0.66,0.94,0.27,0.94,Sunglasses,Clothing
308,0.26,0.67,0.62,0.85,Sunglasses,Clothing
309,0.63,0.23,0.32,0.99,Gloves & mittens,Clothing
310,0.88,0.71,0.09,0.53,Watches,Clothing
311,0.7,0.89,0.64,0.09,Dancewear,Clothing
312,0.1,0.64,0.28,0.74,Theatrical costumes,Clothing
313,0.49,0.82,0.65,0.22,Rompers,Clothing
314,0.8,0.7,0.15,0.17,Maternity wear,Clothing
315,0.21,0.48,0.36,0.66,Sports leggings,Clothing
316,0.65,0.86,0.92,0.26,Windbreakers,Clothing
317,0.74,0.75,0.63,0.63,Keychains,Clothing
318,0.3,0.59,0.35,0.77,Sports leggings,Clothing
319,0.55,0.37,0.17,0.86,Formal shirts,Clothing
320,0.72,0.96,0.71,0.46,Keychains,Clothing
321,0.21,0.75,0.67,0.63,Jackets,Clothing
322,0.19,0.1,0.29,0.73,Denim jackets,Clothing
323,0.28,0.29,0.27,0.48,Swimwear,Clothing
324,0.21,0.76,0.65,0.95,Shorts,Clothing
325,0.27,0.12,0.93,0.16,Formal shirts,Clothing
326,0.6,0.91,0.25,0.64,Sweaters,Clothing
327,0.23,0.7,0.21,0.14,Children's clothing,Clothing
328,0.77,0.77,0.17,0.68,Workout clothes,Clothing
329,0.38,0.92,0.41,0.33,Sports bras,Clothing
330,0.6,0.98,0.74,0.93,Luggage,Clothing
331,0.61,0.93,0.18,0.73,Sarees,Clothing
332,0.03,0.68,0.65,0.58,Scarves,Clothing
333,0.72,0.71,0.96,0.83,Panties,Clothing
334,0.77,0.52,0.25,0.43,Umbrellas,Clothing
335,0.21,0.84,0.89,0.73,Keychains,Clothing
336,0.57,0.92,0.57,0.82,Tie clips,Clothing
337,0.06,0.14,0.65,0.8,Tracksuits,Clothing
338,0.53,0.6,0.62,0.66,Workout clothes,Clothing
339,0.32,0.97,0.81,0.28,Handbags,Clothing
340,0.67,0.77,0.81,0.18,Earrings,Clothing
341,0.39,0.71,0.65,0.01,Flip-flops,Clothing
342,0.1,0.97,0.69,0.05,Leather jackets,Clothing
343,0.55,0.3,0.22,0.46,Children's clothing,Clothing
344,0.96,0.34,0.72,0.08,Costumes,Clothing
345,0.37,0.62,0.53,0.85,Leggings,Clothing
346,0.67,0.82,0.18,0.66,Shawls,Clothing
347,0.18,0.71,0.06,0.46,Traditional clothing,Clothing
348,0.79,0.59,0.1,0.38,Bras,Clothing
349,0.63,0.21,0.78,0.44,Sandals,Clothing
350,0.4,0.75,0.09,0.68,Workout clothes,Clothing
351,0.51,0.95,0.25,0.51,Rings,Clothing
352,0.67,0.28,0.96,0.63,Jeans,Clothing
353,0.5,0.62,0.07,0.59,Hats,Clothing
354,0.81,0.17,0.79,0.37,Windbreakers,Clothing
355,0.37,0.27,0.77,0.79,Traditional clothing,Clothing
356,0.48,0.2,0.99,0.39,Leather jackets,Clothing
357,0.23,0.79,0.67,0.88,Caps,Clothing
358,0.37,0.32,0.88,0.82,Sneakers,Clothing
359,0.79,0.35,0.41,0.26,Spring jackets,Clothing
360,0.08,0.68,0.63,0.89,Children's clothing,Clothing
361,0.35,0.28,0.83,0.49,Children's clothing,Clothing
362,0.95,0.53,0.19,0.66,Shoes,Clothing
363,0,0.92,0.09,0.71,Slippers,Clothing
364,0.84,0.32,0.32,0.5,Jumpsuits,Clothing
365,0.1,0.31,0.74,0.53,Formal shirts,Clothing
366,0.76,0.76,0.84,0.87,Jumpsuits,Clothing
367,0.7,1,0.49,0.69,T-shirts,Clothing
368,0.68,0.01,0.19,0.07,Tote bags,Clothing
369,0.43,0.48,0.6,0.47,Coats,Clothing
370,0.46,0.08,0.02,0.55,Luggage,Clothing
371,0.51,0.37,0.13,0.5,Parkas,Clothing
372,0.18,0.72,0.43,0.66,Dancewear,Clothing
373,0.3,0.74,0.2,0.28,Parkas,Clothing
374,0.52,0.36,0.41,0.89,Sandals,Clothing
375,0.44,0.06,0.25,0.75,Kilts,Clothing
376,0.95,0.11,0.82,0.51,Clutches,Clothing
377,0.4,0.87,0.33,0.83,Maternity wear,Clothing
378,0.89,0.49,0.28,0.78,Leather jackets,Clothing
379,0.08,0.59,0.38,0.55,Jackets,Clothing
380,0.45,0.73,0.19,0.87,Sarees,Clothing
381,0.14,0.56,0.24,0.03,Costumes,Clothing
382,0.11,0.28,0.73,0.32,Sportswear,Clothing
383,0.28,0.97,0.67,0.92,Prescription glasses,Clothing
384,0.64,0.42,0.49,0.34,Jumpsuits,Clothing
385,0.33,0.73,0.84,0.04,T-shirts,Clothing
386,0.59,0.57,0.95,0.07,Jackets,Clothing
387,0.96,0.33,0.23,0.77,Workout clothes,Clothing
388,0.23,0.03,0.69,0.38,Wallets,Clothing
389,0.02,0.19,0.63,0.76,Jeans,Clothing
390,0.54,0.64,0.2,0.43,T-shirts,Clothing
391,0.46,0.71,0.5,0.88,Watches,Clothing
392,0.93,0.57,0.68,0.43,Prescription glasses,Clothing
393,0.93,0.93,0.66,0.75,Jewelry,Clothing
394,0.29,0.33,0.25,0.54,Formal shirts,Clothing
395,0.44,0.06,0.85,0.69,Cardigans,Clothing
396,0.18,0.94,0.09,0.22,Kilts,Clothing
397,0.36,0.63,0.88,0.61,Sneakers,Clothing
398,0.01,0.45,0,0.08,Scarves,Clothing
399,0.01,0.11,0.14,0.3,Formalwear,Clothing
400,0.96,0.01,0.22,0.67,Hoodies,Clothing
401,0.8,0.65,0.32,0.51,Formalwear,Clothing
402,0.33,0.95,0.54,0.85,Sleepwear,Clothing
403,0.18,0.28,0.7,0.7,Formal shirts,Clothing
404,0.81,0.49,0.73,0.21,Loafers,Clothing
405,0.02,0.23,0.05,0.82,Slippers,Clothing
406,0.09,0.28,0.23,0.7,Rings,Clothing
407,0.66,0.42,0.71,0.12,Swimwear,Clothing
409,0.82,0.01,0.71,0.36,Sunglasses,Clothing
410,0.59,0.58,0.07,0.66,Earrings,Clothing
411,0.21,0.93,0.64,0.02,Windbreakers,Clothing
412,0.29,0.53,0.29,0.4,Sleepwear,Clothing
413,0.79,0.33,0,0.25,Theatrical costumes,Clothing
414,0.29,0.48,0.09,0.69,Hats,Clothing
415,0.58,0.68,0.32,0.92,Flip-flops,Clothing
416,0.83,0.1,0.58,0.18,Slippers,Clothing
417,0.61,0.71,0.25,0.12,Sarees,Clothing
418,0.35,0.25,0.33,0.97,Jackets,Clothing
419,0.07,0.17,0.77,0.87,Sarees,Clothing
420,0.76,0.65,0.23,0.27,Tote bags,Clothing
421,0.76,0.81,0.94,0.67,Bras,Clothing
422,0.93,0.12,0.15,0.45,Swimwear,Clothing
423,0.05,0.4,0.13,0.93,Boxers & briefs,Clothing
424,0.86,0.62,0,0.45,Work uniforms,Clothing
425,0.35,0.99,0.62,0.72,Flats,Clothing
426,0.53,0,0.21,0.06,Suits,Clothing
427,0.69,0.29,0.17,0.42,Handbags,Clothing
428,0.98,0.04,0.27,0.27,Tote bags,Clothing
429,0.36,0.4,0.84,0.58,Rompers,Clothing
430,1,0.83,0.82,0.11,Children's clothing,Clothing
431,0.91,0.16,0.45,0.14,Pants,Clothing
432,0.66,0.67,0.68,0.51,Theatrical costumes,Clothing
433,0.95,0.11,0.94,0.16,Stilettos,Clothing
434,0.32,0.26,0.82,0.8,Clutches,Clothing
435,0.12,0.11,0.98,0.99,Tie clips,Clothing
436,0.34,0.51,0.59,0.91,Keychains,Clothing
437,0.82,0.72,0.03,0.55,Parkas,Clothing
438,0.49,0.27,0.16,0.85,Work uniforms,Clothing
439,0.95,0.69,0.86,0.31,Maternity wear,Clothing
440,0.1,0.14,0.87,0.52,Sandals,Clothing
441,0.69,0.53,0.32,0.37,Leotards & tights,Clothing
442,0.02,0.94,0.24,0.74,Wallets,Clothing
443,0.64,0.09,0.92,0.57,Coats,Clothing
444,0.31,0.62,0.75,0.9,Sportswear,Clothing
445,0.07,0.05,0.76,0.82,Sarees,Clothing
446,0.22,0.31,0.21,0.33,Scarves,Clothing
447,0.45,0.86,0.39,0.51,Leggings,Clothing
448,0.2,0.15,0.3,0.95,Formalwear,Clothing
449,0.06,0.7,0.05,0.22,Cosplay outfits,Clothing
450,0.74,0.23,0.44,0.81,Swimwear,Clothing
451,0.7,0.87,0.55,0.79,Watches,Clothing
452,0.69,0.66,0.8,0.93,Sports uniforms,Clothing
453,0.56,0.36,0.05,0.8,Hats,Clothing
454,0.26,0.29,0.1,0.86,Earrings,Clothing
455,0.2,0.17,0.75,0.99,Watches,Clothing
456,0.03,0.45,0.4,0.87,Jackets,Clothing
457,0.77,0.46,0.22,0.89,Cardigans,Clothing
458,0.13,0.31,0.15,0.78,Workout clothes,Clothing
459,0.29,0.73,0.53,0.67,Windbreakers,Clothing
460,0.59,0.91,0.17,0.58,Work uniforms,Clothing
461,0.88,0.39,0.09,0.81,Winter jackets,Clothing
462,0.26,0.32,0.88,0.21,Kilts,Clothing
463,0.19,0.99,0.33,0.09,Heels,Clothing
464,0.5,0.6,0.9,0.13,Sneakers,Clothing
465,0.76,0.63,0.37,0.56,Stilettos,Clothing
466,0.82,0.51,0.62,0.03,Robes,Clothing
467,0.54,0.16,0.66,0.99,Sneakers,Clothing
468,0.36,0.93,0.61,0.07,Sports uniforms,Clothing
469,0.08,0.94,0.93,0.82,Formalwear,Clothing
470,0.46,0.78,0.87,0.23,Watches,Clothing
471,0.85,0.83,0.35,0.17,Windbreakers,Clothing
472,0.78,0.39,0.76,0.45,Leotards & tights,Clothing
473,0.62,0.77,0.08,0.6,Sports leggings,Clothing
474,0.03,0.22,0.46,0.12,Handbags,Clothing
475,0.56,0.56,0.23,0.67,Loafers,Clothing
476,0.48,0.72,0.83,0.3,Formal shirts,Clothing
477,0.97,0.26,0.59,0.78,Jackets,Clothing
478,0.78,0.7,0.44,0.95,Necklaces,Clothing
479,0.08,0.81,0.43,0.29,Parkas,Clothing
480,0.5,0.27,0.04,0.96,Watches,Clothing
481,0.34,0.87,0.29,0.62,Workout clothes,Clothing
482,0.76,0.86,0.46,0.58,Sleepwear,Clothing
483,0.79,0.46,0.56,0.77,Umbrellas,Clothing
